"Product Title","Product Description","Product UID","Print File URL","Should Publish Images?"
"Sumi-e Enso Print, Japandi Wall Art, Zen Circle Brushstroke, Above-Bed Decor | Enso by Calm & Oak","Sumi-e Enso wall art — minimalist Japanese ink print on museum-quality 250gsm matte paper. A quiet Japandi piece for bedroom, meditation space, or above-bed gallery wall.

*Enso* — An enso is drawn in a single breath. The opening at the rim is the point — wholeness made visible only because of the gap.

Part of the **Sumi-e** series by Calm & Oak. Pairs with *Mountain Mist*, *Bent Reed*, *Crane* to form a four-piece Sumi-e gallery wall (each sold separately).

**Save $28 with the set of three** — see ""Sumi-e Essentials"" in our shop. The three prints are designed to balance as a single gallery wall.

**Sizes — all fit standard frames**
• 8×10 in — $28
• 11×14 in — $42
• 16×20 in — $68

**Materials**
• Museum-quality matte fine-art poster, 250 gsm
• Acid-free, FSC-certified archival paper
• Warm off-white background — not bright white
• Original Calm & Oak artwork, drawn in-house

**Made to order.** Printed locally and shipped flat. Allow 3–5 business days before dispatch. Unframed — frame separately for the cleanest look.

A quiet gift for meditation studios, yoga teachers, therapist offices, Japandi bedrooms, and above-bed decor.

Japandi wall art • sumi-e ink painting • minimalist Japanese print • zen wall art • wabi-sabi decor • meditation art • above bed art","","https://calmandoak.com/assets/img/print-files/enso_16x20_300dpi.jpg","No"
"Sumi-e Reed Print, Japandi Wall Art, Single Brushstroke Botanical, Minimalist Japanese Ink | Bent Reed by Calm & Oak","Sumi-e bent reed wall art — minimalist Japanese ink print on museum-quality 250gsm matte paper. A calm Japandi piece for bedroom, meditation space, or above-bed gallery wall.

*Bent Reed* — A bent reed in sumi-e is the whole autumn in one brushstroke — the season the painter chose not to paint.

Part of the **Sumi-e** series by Calm & Oak. Pairs with *Enso*, *Mountain Mist*, *Crane* to form a four-piece Sumi-e gallery wall (each sold separately).

**Save $28 with the set of three** — see ""Sumi-e Botanical"" in our shop. The three prints are designed to balance as a single gallery wall.

**Sizes — all fit standard frames**
• 8×10 in — $28
• 11×14 in — $42
• 16×20 in — $68

**Materials**
• Museum-quality matte fine-art poster, 250 gsm
• Acid-free, FSC-certified archival paper
• Warm off-white background — not bright white
• Original Calm & Oak artwork, drawn in-house

**Made to order.** Printed locally and shipped flat. Allow 3–5 business days before dispatch. Unframed — frame separately for the cleanest look.

A quiet gift for meditation studios, yoga teachers, therapist offices, Japandi bedrooms, and slow-living gifts.

Japandi wall art • sumi-e ink painting • minimalist Japanese print • zen wall art • wabi-sabi decor • meditation art • above bed art","","https://calmandoak.com/assets/img/print-files/bent-reed_16x20_300dpi.jpg","No"
"Sumi-e Crane Print, Japandi Wall Art, Tsuru Japanese Bird Ink, Longevity Symbol | Crane by Calm & Oak","Sumi-e crane wall art — minimalist Japanese tsuru ink print on museum-quality 250gsm matte paper. A calm Japandi piece for bedroom, anniversary gift, or above-bed gallery wall.

*Crane* — The tsuru — Japan’s thousand-year crane — is the symbol of longevity, drawn in one breath in mid-flight.

Part of the **Sumi-e** series by Calm & Oak. Pairs with *Enso*, *Bent Reed*, *Mountain Mist* to form a four-piece Sumi-e gallery wall (each sold separately).

**Save $28 with the set of three** — see ""Sumi-e Essentials"" in our shop. The three prints are designed to balance as a single gallery wall.

**Sizes — all fit standard frames**
• 8×10 in — $28
• 11×14 in — $42
• 16×20 in — $68

**Materials**
• Museum-quality matte fine-art poster, 250 gsm
• Acid-free, FSC-certified archival paper
• Warm off-white background — not bright white
• Original Calm & Oak artwork, drawn in-house

**Made to order.** Printed locally and shipped flat. Allow 3–5 business days before dispatch. Unframed — frame separately for the cleanest look.

A quiet gift for anniversaries (the crane is the Japanese symbol of marriage), housewarmings, meditation studios, and Japandi bedrooms.

Japandi wall art • sumi-e ink painting • minimalist Japanese print • zen wall art • wabi-sabi decor • meditation art • above bed art","","https://calmandoak.com/assets/img/print-files/crane_16x20_300dpi.jpg","No"
"Sumi-e Mountain Print, Japandi Wall Art, Minimalist Japanese Ink, Above-Bed Decor | Mountain Mist by Calm & Oak","Sumi-e mountain wall art — minimalist Japanese ink print on museum-quality 250gsm matte paper. A calm Japandi piece for bedroom, meditation space, or above-bed gallery wall.

*Mountain Mist* — Sumi-e mountains are never about the mountain; they are about the space the mountain makes in the air.

Part of the **Sumi-e** series by Calm & Oak. Pairs with *Enso*, *Bent Reed*, *Crane* to form a four-piece Sumi-e gallery wall (each sold separately).

**Save $28 with the set of three** — see ""Sumi-e Essentials"" in our shop. The three prints are designed to balance as a single gallery wall.

**Sizes — all fit standard frames**
• 8×10 in — $28
• 11×14 in — $42
• 16×20 in — $68

**Materials**
• Museum-quality matte fine-art poster, 250 gsm
• Acid-free, FSC-certified archival paper
• Warm off-white background — not bright white
• Original Calm & Oak artwork, drawn in-house

**Made to order.** Printed locally and shipped flat. Allow 3–5 business days before dispatch. Unframed — frame separately for the cleanest look.

A quiet gift for meditation studios, yoga teachers, therapist offices, Japandi bedrooms, and above-bed decor.

Japandi wall art • sumi-e ink painting • minimalist Japanese print • zen wall art • wabi-sabi decor • meditation art • above bed art","","https://calmandoak.com/assets/img/print-files/mountain-mist_16x20_300dpi.jpg","No"
"Sumi-e Bamboo Print, Japandi Wall Art, Three Bamboo Stalks Ink, Japanese Botanical | Three Bamboo by Calm & Oak","Sumi-e three-bamboo wall art — minimalist Japanese ink print on museum-quality 250gsm matte paper. A calm Japandi piece for bedroom, dining room, or above-bed gallery wall.

*Three Bamboo* — Three stalks rising at varied heights — the sumi-e odd-number rule, the composition that refuses to be symmetrical.

Part of the **Sumi-e** series by Calm & Oak. Pairs with *Cherry Branch*, *Koi*, *Tsuki* to form a four-piece Sumi-e collection (each sold separately).

**Save $28 with the set of three** — see ""Sumi-e Botanical"" in our shop. The three prints are designed to balance as a single gallery wall.

**Sizes — all fit standard frames**
• 8×10 in — $28
• 11×14 in — $42
• 16×20 in — $68

**Materials**
• Museum-quality matte fine-art poster, 250 gsm
• Acid-free, FSC-certified archival paper
• Warm off-white background — not bright white
• Original Calm & Oak artwork, drawn in-house

**Made to order.** Printed locally and shipped flat. Allow 3–5 business days before dispatch. Unframed — frame separately for the cleanest look.

A quiet gift for dining rooms, Japandi bedrooms, slow-living gifts, and meditation studios.

Japandi wall art • sumi-e ink painting • minimalist Japanese print • zen wall art • wabi-sabi decor • meditation art • above bed art","","https://calmandoak.com/assets/img/print-files/bamboo_16x20_300dpi.jpg","No"
"Sumi-e Cherry Blossom Print, Japandi Wall Art, Sakura Branch Ink, Japanese Botanical | Cherry Branch by Calm & Oak","Sumi-e sakura wall art — minimalist Japanese cherry blossom ink print on museum-quality 250gsm matte paper. A calm Japandi piece for bedroom, anniversary gift, or above-bed gallery wall.

*Cherry Branch* — A single sakura branch with open blossoms and one fallen petal — mono no aware, the gentle sadness of things that don’t last.

Part of the **Sumi-e** series by Calm & Oak. Pairs with *Three Bamboo*, *Koi*, *Tsuki* to form a four-piece Sumi-e collection (each sold separately).

**Save $28 with the set of three** — see ""Sumi-e Botanical"" in our shop. The three prints are designed to balance as a single gallery wall.

**Sizes — all fit standard frames**
• 8×10 in — $28
• 11×14 in — $42
• 16×20 in — $68

**Materials**
• Museum-quality matte fine-art poster, 250 gsm
• Acid-free, FSC-certified archival paper
• Warm off-white background — not bright white
• Original Calm & Oak artwork, drawn in-house

**Made to order.** Printed locally and shipped flat. Allow 3–5 business days before dispatch. Unframed — frame separately for the cleanest look.

A quiet gift for anniversaries, spring gifts, Japandi bedrooms, dining rooms, and slow-living gifts.

Japandi wall art • sumi-e ink painting • minimalist Japanese print • zen wall art • wabi-sabi decor • meditation art • above bed art","","https://calmandoak.com/assets/img/print-files/cherry-branch_16x20_300dpi.jpg","No"
"Sumi-e Koi Print, Japandi Wall Art, Japanese Fish Ink Painting, Vermillion Accent | Koi by Calm & Oak","Sumi-e koi wall art — minimalist Japanese fish ink print on museum-quality 250gsm matte paper. A calm Japandi piece for bedroom, office, or above-bed gallery wall.

*Koi* — A single koi crossing still water — the courage piece. In Japanese legend the koi that climbs the waterfall becomes a dragon.

Part of the **Sumi-e** series by Calm & Oak. Pairs with *Three Bamboo*, *Cherry Branch*, *Mountain Stream* to form a four-piece Sumi-e collection (each sold separately).

**Save $28 with the set of three** — see ""Sumi-e Calm Waters"" in our shop. The three prints are designed to balance as a single gallery wall.

**Sizes — all fit standard frames**
• 8×10 in — $28
• 11×14 in — $42
• 16×20 in — $68

**Materials**
• Museum-quality matte fine-art poster, 250 gsm
• Acid-free, FSC-certified archival paper
• Warm off-white background — not bright white
• Original Calm & Oak artwork, drawn in-house

**Made to order.** Printed locally and shipped flat. Allow 3–5 business days before dispatch. Unframed — frame separately for the cleanest look.

A quiet gift for home offices, courage/persistence gifts, Japandi bedrooms, and meditation studios.

Japandi wall art • sumi-e ink painting • minimalist Japanese print • zen wall art • wabi-sabi decor • meditation art • above bed art","","https://calmandoak.com/assets/img/print-files/koi_16x20_300dpi.jpg","No"
"Sumi-e Waterfall Print, Japandi Wall Art, Single Vertical Brushstroke, Minimalist Ink | Mountain Stream by Calm & Oak","Sumi-e waterfall wall art — minimalist Japanese ink brushstroke print on museum-quality 250gsm matte paper. A calm Japandi piece for bedroom, meditation space, or above-bed gallery wall.

*Mountain Stream* — A single decisive vertical brushstroke — water as gesture. The whole waterfall in one breath.

Part of the **Sumi-e** series by Calm & Oak. Pairs with *Mountain Mist*, *Enso*, *Bent Reed* to form a four-piece Sumi-e gallery wall (each sold separately).

**Save $28 with the set of three** — see ""Sumi-e Calm Waters"" in our shop. The three prints are designed to balance as a single gallery wall.

**Sizes — all fit standard frames**
• 8×10 in — $28
• 11×14 in — $42
• 16×20 in — $68

**Materials**
• Museum-quality matte fine-art poster, 250 gsm
• Acid-free, FSC-certified archival paper
• Warm off-white background — not bright white
• Original Calm & Oak artwork, drawn in-house

**Made to order.** Printed locally and shipped flat. Allow 3–5 business days before dispatch. Unframed — frame separately for the cleanest look.

A quiet gift for meditation studios, yoga teachers, therapist offices, Japandi bedrooms, and above-bed decor.

Japandi wall art • sumi-e ink painting • minimalist Japanese print • zen wall art • wabi-sabi decor • meditation art • above bed art","","https://calmandoak.com/assets/img/print-files/mountain-stream_16x20_300dpi.jpg","No"
"Wabi-Sabi Tea Bowl Print, Sumi-e Wall Art, Japanese Ceramic Ink, Japandi Decor | Tsuki by Calm & Oak","Wabi-sabi tea bowl wall art — minimalist Japanese sumi-e ink print on museum-quality 250gsm matte paper. A calm Japandi piece for kitchen, dining room, or tea room.

*Tsuki* — An empty tea bowl, tilted ever so slightly. Wabi-sabi: beauty in the imperfect, the impermanent, the incomplete.

Part of the **Sumi-e** series by Calm & Oak. Pairs with *Chado*, *Balance*, *Enso* to form a four-piece wabi-sabi gallery wall (each sold separately).

**Save $28 with the set of three** — see ""Sumi-e Calm Waters"" in our shop. The three prints are designed to balance as a single gallery wall.

**Sizes — all fit standard frames**
• 8×10 in — $28
• 11×14 in — $42
• 16×20 in — $68

**Materials**
• Museum-quality matte fine-art poster, 250 gsm
• Acid-free, FSC-certified archival paper
• Warm off-white background — not bright white
• Original Calm & Oak artwork, drawn in-house

**Made to order.** Printed locally and shipped flat. Allow 3–5 business days before dispatch. Unframed — frame separately for the cleanest look.

A quiet gift for tea rooms, dining rooms, kitchen still-life corners, mindful gifts, and Japandi homes.

Japandi wall art • sumi-e ink painting • minimalist Japanese print • zen wall art • wabi-sabi decor • meditation art • above bed art","","https://calmandoak.com/assets/img/print-files/tsuki_16x20_300dpi.jpg","No"
"Single Stem Print, Botanical Line Art, Japandi Bud Vase Wall Art, Minimalist Botanical | Single Stem by Calm & Oak","Single-stem botanical line wall art — minimalist Japandi print on museum-quality 250gsm matte paper. A quiet piece for kitchen, sunlit corner, or above-bed gallery wall.

*Single Stem* — One dried stem in a stoneware bud vase — the entire Japandi philosophy compressed into a single object.

Part of the **Botanical Line** series by Calm & Oak. Pairs with *Eucalyptus*, *Olive Branch*, *Wild Grass* to form a four-piece Botanical Line gallery wall (each sold separately).

**Save $28 with the set of three** — see ""Botanical Soft"" in our shop. The three prints are designed to balance as a single gallery wall.

**Sizes — all fit standard frames**
• 8×10 in — $28
• 11×14 in — $42
• 16×20 in — $68

**Materials**
• Museum-quality matte fine-art poster, 250 gsm
• Acid-free, FSC-certified archival paper
• Warm off-white background — not bright white
• Original Calm & Oak artwork, drawn in-house

**Made to order.** Printed locally and shipped flat. Allow 3–5 business days before dispatch. Unframed — frame separately for the cleanest look.

A quiet gift for kitchens, sunlit corners, plant lovers, slow-living gifts, and Japandi bedrooms.

Botanical line art • single-line drawing • Japandi botanical print • minimalist botanical • zen wall art • neutral wall decor • leaf wall art","","https://calmandoak.com/assets/img/print-files/single-stem_16x20_300dpi.jpg","No"
